material_id,formula,space_group,nsites,count_unique_TM,count_TM,count_unique_C,count_C,consensus_formula,ab_angle(degree),caxis
mp-1184373,Fe3S,P6_3/mmc,8,1,3,1,1,Fe3S,119.99999599355021,4.254747
mp-1184541,Eu3S,P6_3/mmc,8,1,3,1,1,Eu3S,119.99999595619883,3.824951
mp-1186,ZrS2,P-3m1,3,1,1,1,2,ZrS2,119.99999249696026,6.611133
mp-1186431,Pd3S,Fm-3m,4,1,3,1,1,Pd3S,90.0,6.260191
mp-1186463,PdS3,I4/mmm,4,1,1,1,3,PdS3,90.0,16.1282
mp-1186638,PmS3,P6_3/mmc,8,1,1,1,3,PmS3,119.99999072411823,5.675249
mp-1187302,Tb3S,Pm-3m,4,1,3,1,1,Tb3S,90.0,4.608296
mp-1187407,TeS3,P6_3/mmc,8,0,0,2,4,S3Te,120.00000339860676,3.719464
mp-1188005,Zr3S,Pm-3m,4,1,3,1,1,Zr3S,90.0,4.271621
mp-1188645,Y2S3,Pnma,20,1,2,1,3,Y2S3,90.0,10.69305
mp-1188655,Ir2S3,Pbcn,20,1,2,1,3,Ir2S3,90.0,8.555082
mp-1190042,U3S5,I4/mcm,16,1,3,1,5,U3S5,90.0,5.680567
mp-1190583,NbS3,P2_1/m,24,1,1,1,3,NbS3,90.0,-14.217758
mp-1194185,U2S5,Pbcn,28,1,2,1,5,U2S5,90.0,9.910275
mp-1196782,ZnS,R3m,36,1,1,1,1,ZnS,119.99999861340478,168.974172
mp-1197374,Zr2S,Pnnm,36,1,2,1,1,Zr2S,90.0,15.32995
mp-1198139,ZnS,R3m,36,1,1,1,1,ZnS,120.00000441926205,169.512678
mp-1199343,ZnS,R3m,36,1,1,1,1,ZnS,119.99999669787474,169.042944
mp-1200836,ZnS,R3m,36,1,1,1,1,ZnS,119.99999338856621,169.514324
mp-1201158,ZnS,R3m,36,1,1,1,1,ZnS,120.00001294837686,169.538215
mp-1201781,ZnS,R3m,36,1,1,1,1,ZnS,119.99999861340478,168.981266
mp-1202182,ZnS,R3m,36,1,1,1,1,ZnS,120.00000752755308,169.508214
mp-1202959,ZnS,R3m,36,1,1,1,1,ZnS,120.00001050345682,169.513576
mp-1203761,ZnS,R3m,36,1,1,1,1,ZnS,119.99999514320902,169.036337
mp-1205297,Tb2S3,Pnma,20,1,2,1,3,Tb2S3,90.0,15.244654
mp-1205321,PtS,P4_2/m,16,1,1,1,1,PtS,90.0,6.662467
mp-1207843,V7S8,P-3m1,15,1,7,1,8,V7S8,120.000006008635,6.049679
mp-1208223,Ti5S8,C2/m,13,1,5,1,8,Ti5S8,90.0,-5.927151
mp-12087,Cu2S,Fm-3m,3,1,2,1,1,Cu2S,90.0,5.552955
mp-1209790,Pu3S2,Pnma,20,1,3,1,2,Pu3S2,90.0,15.231355
mp-1209834,Np2S5,Pbcn,28,1,2,1,5,Np2S5,90.0,9.916599
mp-1210578,NbS6,Cmmm,7,1,1,1,6,NbS6,90.0,51.726074
mp-1210708,Mo21S8,I4/m,29,1,21,1,8,Mo21S8,90.0,3.174362
mp-1214,VS,P6_3/mmc,4,1,1,1,1,VS,119.99999059151732,6.461501
mp-1214753,AuS2,Pn-3m,6,1,1,1,2,AuS2,90.0,5.396146
mp-1215375,Zr5S8,F-43m,13,1,5,1,8,Zr5S8,90.0,10.591966
mp-1215419,Zr3S2,R32,5,1,3,1,2,Zr3S2,119.99999716831911,10.463319
mp-1215543,Zr3S4,Cmmm,14,1,3,1,4,Zr3S4,90.0,3.69193
mp-1216463,V7S8,C2/m,15,1,7,1,8,V7S8,90.0,-6.024093
mp-1216498,V3S5,P-1,16,1,3,1,5,V3S5,90.18039500146863,7.072156
mp-1216778,TiS2,R3m,12,1,1,1,2,TiS2,119.99999608493081,17.982754
mp-1217073,Ti3S2,R32,5,1,3,1,2,Ti3S2,119.9999968879706,9.712855
mp-1217101,Ti3S4,P3m1,7,1,3,1,4,Ti3S4,119.99999926161458,11.812203
mp-1217163,Ti5S8,Pm,13,1,5,1,8,Ti5S8,90.0,-11.759614
mp-1217166,Ti5S8,Cm,13,1,5,1,8,Ti5S8,90.0,-5.786911
mp-1217172,Ti5S8,R3m,13,1,5,1,8,Ti5S8,120.00000204906665,71.005986
mp-1217192,Ti2S3,C2/c,20,1,2,1,3,Ti2S3,90.0,-11.299288
mp-1217388,Th7S12,P-6,19,1,7,1,12,Th7S12,119.99999401126686,3.991332
mp-1217445,Ti5S8,Pm,39,1,5,1,8,Ti5S8,90.0,-35.363288
mp-1217564,U11S20,P4,31,1,11,1,20,U11S20,90.0,6.351927
mp-1217915,TaS2,Cmcm,6,1,1,1,2,TaS2,90.0,23.61405
mp-1219328,SeS7,P1,24,0,0,2,8,S7Se,90.13728666176374,15.56107
mp-1219856,Pr5S8,F-43m,13,1,5,1,8,Pr5S8,90.0,11.946291
mp-1220037,Pr5S9,C2,28,1,5,1,9,Pr5S9,90.0,-9.906485
mp-1220109,Ni3S2,R3m,5,1,3,1,2,Ni3S2,119.99998935568514,20.721349
mp-1220205,Nd5S4,R-3m,9,1,5,1,4,Nd5S4,120.0000122413948,49.906724
mp-1220218,Nd5S8,F-43m,13,1,5,1,8,Nd5S8,90.0,11.827835
mp-1220359,Nd5S9,C2,28,1,5,1,9,Nd5S9,90.0,-9.825383
mp-1220475,Nb7S8,P3m1,15,1,7,1,8,Nb7S8,119.99999890769902,6.462689
mp-1220631,Nb3S4,P-3m1,7,1,3,1,4,Nb3S4,120.00000369846981,13.106915
mp-1220654,Nb5S8,P312,39,1,5,1,8,Nb5S8,119.99999649185308,25.434246
mp-1220657,Nb3S5,P1,16,1,3,1,5,Nb3S5,105.81044073933192,7.361254
mp-1223103,La5S8,F-43m,13,1,5,1,8,La5S8,90.0,12.131364
mp-1223399,La5S7,Cm,24,1,5,1,7,La5S7,90.0,-5.421449
mp-1225835,Cu2S,C2/c,6,1,2,1,1,Cu2S,90.0,-7.287599
mp-1225858,Fe11S12,Cc,46,1,11,1,12,Fe11S12,90.0,-15.810499
mp-1225993,Cu2S,C2/m,6,1,2,1,1,Cu2S,90.0,-5.627616
mp-1226916,Ce5S8,F-43m,13,1,5,1,8,Ce5S8,90.0,11.802526
mp-1232117,EuS2,P4/nmm,6,1,1,1,2,EuS2,90.0,8.586979
mp-1232155,EuS2,P2_1/c,12,1,1,1,2,EuS2,90.08137232209812,8.317242
mp-1232239,PmS,I4/mmm,4,1,1,1,1,PmS,90.0,21.258628
mp-1232269,SmS2,Fd-3m,6,1,1,1,2,SmS2,90.0,7.878454
mp-1232271,PmS2,P4/nmm,6,1,1,1,2,PmS2,90.0,8.180332
mp-1232273,SmS2,P4/nmm,6,1,1,1,2,SmS2,90.0,8.124105
mp-1232280,SmS2,P2_1/c,12,1,1,1,2,SmS2,90.0,-8.061081
mp-1238797,MoS2,P-3m1,3,1,1,1,2,MoS2,120.0000153837427,6.493522
mp-1239203,MoS3,Pm,4,1,1,1,3,MoS3,90.0,-8.15408
mp-12406,US3,P2_1/m,8,1,1,1,3,US3,90.0,-9.535027
mp-1244890,ZnS,P1,100,1,1,1,1,ZnS,87.00931676169445,15.138486
mp-1244921,ZnS,P1,100,1,1,1,1,ZnS,96.76129454348127,-14.168758
mp-1244922,ZnS,P1,100,1,1,1,1,ZnS,90.10587065888842,14.342892
mp-1244936,ZnS,P1,100,1,1,1,1,ZnS,88.46967109904303,13.708831
mp-1244974,ZnS,P1,100,1,1,1,1,ZnS,87.11497750044833,13.559857
mp-1244979,ZnS,P1,100,1,1,1,1,ZnS,93.04007717908286,13.51087
mp-1244980,ZnS,P1,100,1,1,1,1,ZnS,94.8121230621044,13.567133
mp-1244986,ZnS,P1,100,1,1,1,1,ZnS,91.29048095686855,14.159341
mp-1244989,ZnS,P1,100,1,1,1,1,ZnS,87.77597343861764,13.314858
mp-1245004,ZnS,P1,100,1,1,1,1,ZnS,81.11531910974722,13.638732
mp-1245034,ZnS,P1,100,1,1,1,1,ZnS,92.9701346829303,13.764436
mp-1245035,ZnS,P1,100,1,1,1,1,ZnS,87.70839195937884,13.971692
mp-1245050,ZnS,P1,100,1,1,1,1,ZnS,89.5508283821494,13.686817
mp-1245054,ZnS,P1,100,1,1,1,1,ZnS,89.86318310567147,13.909686
mp-1245062,ZnS,P1,100,1,1,1,1,ZnS,91.7772762686689,13.475842
mp-1245068,ZnS,P1,100,1,1,1,1,ZnS,90.74888689914754,14.099517
mp-1245082,ZnS,P1,100,1,1,1,1,ZnS,88.09077185137612,13.818383
mp-1245117,ZnS,P1,100,1,1,1,1,ZnS,93.99988856600068,13.701149
mp-1245121,ZnS,P1,100,1,1,1,1,ZnS,84.80112853780591,13.776392
mp-1245122,ZnS,P1,100,1,1,1,1,ZnS,91.15632796634148,13.876766
mp-1245136,ZnS,P1,100,1,1,1,1,ZnS,94.71166073162458,13.873733
mp-1245169,ZnS,P1,100,1,1,1,1,ZnS,91.15363746463073,14.390057
mp-1245194,ZnS,P1,100,1,1,1,1,ZnS,85.36570127996873,14.399862
mp-1245197,ZnS,P1,100,1,1,1,1,ZnS,86.11557380229739,14.160258
mp-1245201,ZnS,P1,100,1,1,1,1,ZnS,80.58348777690316,13.523912
mp-1245213,ZnS,P1,100,1,1,1,1,ZnS,82.70308827358001,14.070422
mp-1245216,ZnS,P1,100,1,1,1,1,ZnS,90.60371964724239,14.055861
mp-1245222,ZnS,P1,100,1,1,1,1,ZnS,86.84397086378655,13.715687
mp-1245236,ZnS,P1,100,1,1,1,1,ZnS,92.55783106758116,13.556774
mp-1245280,ZnS,P1,100,1,1,1,1,ZnS,89.21512629062977,13.909598
mp-1245300,ZnS,P1,100,1,1,1,1,ZnS,95.49149148033881,14.034
mp-1245310,ZnS,P1,100,1,1,1,1,ZnS,96.42473911479088,-13.891643
mp-1245317,ZnS,P1,100,1,1,1,1,ZnS,83.13265090165795,13.772274
mp-12627,Nb3S4,P6_3/m,14,1,3,1,4,Nb3S4,119.99999933908325,3.408545
mp-1269,SmS,Fm-3m,2,1,1,1,1,SmS,90.0,5.670713
mp-1270,Dy2S3,Pnma,20,1,2,1,3,Dy2S3,90.0,10.653089
mp-1274,CoS,P6_3/mmc,4,1,1,1,1,CoS,119.99998233625946,5.12525
mp-1311,Cr5S6,P-31c,22,1,5,1,6,Cr5S6,119.99999177176623,11.460755
mp-13456,ZnS,R3m,10,1,1,1,1,ZnS,120.00000724413395,47.262504
mp-13568,NdS2,P2_1/c,12,1,1,1,2,NdS2,90.0,-8.145956
mp-13682,PdS2,Pbca,12,1,1,1,2,PdS2,90.0,8.607088
mp-13685,Cr2S3,P-31c,20,1,2,1,3,Cr2S3,119.99999847718578,11.265034
mp-1382,Ce3S4,I-43d,14,1,3,1,4,Ce3S4,90.0,8.537088
mp-1403,Sm2S3,Pnma,20,1,2,1,3,Sm2S3,90.0,15.499324
mp-1411,TaS2,Fmm2,3,1,1,1,2,TaS2,90.0,22.49653
mp-1434,MoS2,R3m,6,1,1,1,2,MoS2,119.99999325953944,19.810424
mp-1449,Pr3S4,I-43d,14,1,3,1,4,Pr3S4,90.0,8.649335
mp-1476,ScS,Fm-3m,2,1,1,1,1,ScS,90.0,5.221674
mp-1508,LaS2,Pnma,24,1,1,1,2,LaS2,90.0,16.40778
mp-1513,Co9S8,Fm-3m,17,1,9,1,8,Co9S8,90.0,9.802552
mp-15179,Pr2S3,Pnma,20,1,2,1,3,Pr2S3,90.0,15.788081
mp-1522,FeS2,Pnnm,6,1,1,1,2,FeS2,90.0,5.406502
mp-1534,YS,Fm-3m,2,1,1,1,1,YS,90.0,5.541288
mp-16226,TaS2,R3m,6,1,1,1,2,TaS2,120.00000666979992,39.292325
mp-16228,YS2,Fd-3m,6,1,1,1,2,YS2,90.0,7.829435
mp-1627,Mo2S3,P2_1/m,10,1,2,1,3,Mo2S3,90.0,-8.470561
mp-16328,DyS2,Fd-3m,6,1,1,1,2,DyS2,90.0,7.80052
mp-1666,Th2S5,Pbcn,28,1,2,1,5,Th2S5,90.0,10.264405
mp-1690,TaS2,P-3m1,3,1,1,1,2,TaS2,120.0000085266578,6.952859
mp-17173,Rh2S3,Pbcn,20,1,2,1,3,Rh2S3,90.0,8.56174
mp-17329,PrS2,Pnma,24,1,1,1,2,PrS2,90.0,16.366733
mp-1783,MnS,F-43m,4,1,1,1,1,MnS,119.9999990613961,9.355551
mp-1802,NbS2,R-3m,3,1,1,1,2,NbS2,119.99999922913621,20.021006
mp-1826,Ta3S2,Aem2,20,1,3,1,2,Ta3S2,90.0,7.530156
mp-18377,ZnS,R3m,20,1,1,1,1,ZnS,120.00000613193512,94.412269
mp-1868,VS,Pnma,8,1,1,1,1,VS,90.0,5.849744
mp-1874,NbS2,P-6m2,3,1,1,1,2,NbS2,119.9999872159124,14.851225
mp-1879,SmS,I4/mmm,4,1,1,1,1,SmS,90.0,21.299495
mp-1925,ZrS,Fm-3m,2,1,1,1,1,ZrS,90.0,5.247016
mp-1984,TaS2,P6_3/mmc,6,1,1,1,2,TaS2,120.00001559299722,13.760229
mp-20036,Gd3S4,I-43d,14,1,3,1,4,Gd3S4,90.0,8.418745
mp-2030,RuS2,Pa-3,12,1,1,1,2,RuS2,90.0,5.655822
mp-20560,CeS,P4/nmm,4,1,1,1,1,CeS,90.0,10.602979
mp-20587,EuS,Fm-3m,2,1,1,1,1,EuS,90.0,5.919883
mp-20594,CeS2,Pnma,24,1,1,1,2,CeS2,90.0,16.093054
mp-2070,CoS2,Pa-3,12,1,1,1,2,CoS2,90.0,5.506401
mp-2086,PuS,Fm-3m,2,1,1,1,1,PuS,90.0,5.615837
mp-20905,OsS2,Pa-3,12,1,1,1,2,OsS2,90.0,5.664152
mp-20973,Ce2S3,Pnma,20,1,2,1,3,Ce2S3,90.0,15.456859
mp-2099,FeS,P6_3/mmc,4,1,1,1,1,FeS,119.99998166138901,5.116101
mp-21063,U4S3,Pm-3m,7,1,4,1,3,U4S3,90.0,5.414897
mp-21410,FeS,Pnma,8,1,1,1,1,FeS,90.0,5.569058
mp-21515,Fe3S4,Fd-3m,14,1,3,1,4,Fe3S4,90.0,9.483051
mp-2156,TiS2,P-3m1,3,1,1,1,2,TiS2,120.00000558002515,5.894486
mp-2164,Mo3S4,R-3,14,1,3,1,4,Mo3S4,119.99999750857604,10.988989
mp-22126,U2S3,Pnma,20,1,2,1,3,U2S3,90.0,10.509784
mp-2243,NbS,P-6m2,2,1,1,1,1,NbS,120.00000684174178,3.324296
mp-22555,RhS2,Pa-3,12,1,1,1,2,RhS2,90.0,5.772767
mp-22562,YS,I4/mmm,4,1,1,1,1,YS,90.0,21.34972
mp-226,FeS2,Pa-3,12,1,1,1,2,FeS2,90.0,5.393987
mp-22652,FeS,P2_1/c,24,1,1,1,1,FeS,90.0,-7.968529
mp-2282,NiS2,Pa-3,12,1,1,1,2,NiS2,90.0,5.608537
mp-2350,LaS,Fm-3m,2,1,1,1,1,LaS,90.0,5.878406
mp-2423,US,Fm-3m,2,1,1,1,1,US,90.0,5.45925
mp-2469,CdS,F-43m,2,1,1,1,1,CdS,90.0,5.940835
mp-2470,DyS,Fm-3m,2,1,1,1,1,DyS,90.0,5.520871
mp-2495,PrS,Fm-3m,2,1,1,1,1,PrS,90.0,5.807656
mp-2537,NdS2,Fd-3m,6,1,1,1,2,NdS2,90.0,7.918004
mp-2648,NbS2,Fmm2,3,1,1,1,2,NbS2,90.0,22.979454
mp-27191,Zr9S2,I4_1/amd,44,1,9,1,2,Zr9S2,90.0,19.391475
mp-27467,Ta6S,C2/c,28,1,6,1,1,Ta6S,90.0,-13.136951
mp-2779,FeS,P-62c,24,1,1,1,1,FeS,60.01650132494778,11.420513
mp-2815,MoS2,P6_3/mmc,6,1,1,1,2,MoS2,119.99999635778862,13.378294
mp-2833,IrS2,Pnma,24,1,1,1,2,IrS2,90.0,20.041696
mp-2849,US2,P-62m,9,1,1,1,2,US2,119.9999991949268,3.933955
mp-29841,Rh3S4,C2/m,21,1,3,1,4,Rh3S4,90.0,-6.01321
mp-30527,TaS3,P2_1/m,24,1,1,1,3,TaS3,90.0,-14.251643
mp-31053,Ag2S,P2_1,6,1,2,1,1,Ag2S,90.0,-5.637829
mp-31381,Nb21S8,I4/m,29,1,21,1,8,Nb21S8,90.0,3.37938
mp-32586,Nd2S3,I-42d,40,1,2,1,3,Nd2S3,90.0,25.708661
mp-32629,Ce2S3,I-42d,40,1,2,1,3,Ce2S3,90.0,25.534263
mp-32640,La5S8,I-4,13,1,5,1,8,La5S8,90.0,8.738957
mp-32645,Sm2S3,I-42d,40,1,2,1,3,Sm2S3,90.0,25.399051
mp-32669,Ag2S,Cmc2_1,6,1,2,1,1,Ag2S,90.0,-7.589381
mp-32692,Pr2S3,I-42d,40,1,2,1,3,Pr2S3,90.0,25.907009
mp-32791,Ag2S,Cmce,6,1,2,1,1,Ag2S,90.0,6.77848
mp-32800,Ac2S3,I-42d,40,1,2,1,3,Ac2S3,90.0,27.072599
mp-32826,Dy2S3,I-42d,40,1,2,1,3,Dy2S3,90.0,24.907574
mp-32868,Ag2S,P1,9,1,2,1,1,Ag2S,94.86924008581687,9.538567
mp-32884,Ag2S,C2/m,6,1,2,1,1,Ag2S,68.38104041740208,7.67879
mp-32891,Y2S3,I-42d,40,1,2,1,3,Y2S3,90.0,24.960474
mp-32906,La2S3,I-42d,40,1,2,1,3,La2S3,90.0,26.143852
mp-32983,Nb3S5,P1,32,1,3,1,5,Nb3S5,113.5543974161309,9.169711
mp-33239,Pu2S3,I-42d,40,1,2,1,3,Pu2S3,90.0,25.116203
mp-362,Ni3S2,R32,10,1,3,1,2,Ni3S2,120.00000349485258,7.088292
mp-36216,Ag2S,Cmcm,6,1,2,1,1,Ag2S,90.0,7.577337
mp-370,CdS,Fm-3m,2,1,1,1,1,CdS,90.0,5.506487
mp-393,Pd16S7,I-43m,23,1,16,1,7,Pd16S7,90.0,9.063258
mp-401,Sc2S3,Fddd,20,1,2,1,3,Sc2S3,90.0,22.158813
mp-438,Nd2S3,Pnma,20,1,2,1,3,Nd2S3,90.0,15.683264
mp-504,CuS,P6_3/mmc,12,1,1,1,1,CuS,119.99998834540716,16.477369
mp-510402,GdS,Fm-3m,2,1,1,1,1,GdS,90.0,5.588739
mp-523,CrS,P6_3/mmc,4,1,1,1,1,CrS,90.0,5.753926
mp-530018,Ta27S50,P1,77,1,27,1,50,Ta27S50,106.27705439945034,14.308459
mp-530036,Tb11S16,P2_12_12,54,1,11,1,16,Tb11S16,90.0,16.802894
mp-531574,Dy11S16,P2_12_12,54,1,11,1,16,Dy11S16,90.0,16.723128
mp-541155,VS4,C2/c,20,1,1,1,4,VS4,90.0,-6.645496
mp-541289,Y2S3,P2_1/m,30,1,2,1,3,Y2S3,90.0,-17.470381
mp-542333,Cu9S5,R-3m,14,1,9,1,5,Cu9S5,119.999991881038,48.217158
mp-542794,Fe7S8,C2/c,30,1,7,1,8,Fe7S8,118.74798716514813,10.413805
mp-553880,ZnS,P3m1,52,1,1,1,1,ZnS,119.9999900068386,81.916097
mp-553916,ZnS,P3m1,48,1,1,1,1,ZnS,120.00001227726405,75.58934
mp-553942,Cu2S,P6_3/mmc,6,1,2,1,1,Cu2S,120.00000763776637,5.519743
mp-554074,NbS2,Cmc2_1,12,1,1,1,2,NbS2,90.0,39.328969
mp-554115,ZnS,P3m1,48,1,1,1,1,ZnS,119.99999740466357,75.499739
mp-554253,ZnS,P3m1,52,1,1,1,1,ZnS,120.00000682498288,81.866875
mp-554462,TiS,P6_3/mmc,4,1,1,1,1,TiS,119.99999429212131,6.483868
mp-554503,ZnS,P3m1,56,1,1,1,1,ZnS,119.99999039155453,88.154727
mp-554630,ZnS,P3m1,48,1,1,1,1,ZnS,120.00000276390142,75.580366
mp-554681,ZnS,P3m1,56,1,1,1,1,ZnS,119.99999416672831,88.14462
mp-554713,ZnS,P3m1,48,1,1,1,1,ZnS,119.99999074232844,75.581395
mp-554820,ZnS,P3m1,56,1,1,1,1,ZnS,119.9999920314731,88.129658
mp-554829,ZnS,P3m1,48,1,1,1,1,ZnS,119.99998252219947,75.57291
mp-554961,ZnS,P3m1,56,1,1,1,1,ZnS,120.0000121630866,88.154408
mp-554986,ZnS,P3m1,68,1,1,1,1,ZnS,120.00000669187811,107.072302
mp-555037,TaS2,R-3m,3,1,1,1,2,TaS2,120.0000030349685,20.308941
mp-555079,ZnS,P3m1,56,1,1,1,1,ZnS,119.9999822907286,88.135585
mp-555151,ZnS,P3m1,56,1,1,1,1,ZnS,120.00000768541986,88.227463
mp-555214,ZnS,P3m1,52,1,1,1,1,ZnS,120.00001403188523,81.845997
mp-555280,ZnS,R3m,12,1,1,1,1,ZnS,120.0000046805039,56.643834
mp-555283,V3S,P4_2/nbc,32,1,3,1,1,V3S,90.0,4.636272
mp-555311,ZnS,P3m1,52,1,1,1,1,ZnS,120.00000993351432,81.902644
mp-555410,ZnS,R3m,8,1,1,1,1,ZnS,119.99999977406827,37.758407
mp-555569,Cr2S3,R-3,10,1,2,1,3,Cr2S3,119.99999738378807,16.061458
mp-555583,ZnS,P3m1,48,1,1,1,1,ZnS,119.99999323152589,75.580985
mp-555594,ZnS,P3m1,48,1,1,1,1,ZnS,120.00000098614838,75.538984
mp-555628,ZnS,P3m1,48,1,1,1,1,ZnS,119.99998772856726,75.538256
mp-555664,ZnS,P3m1,48,1,1,1,1,ZnS,119.9999818951836,75.558963
